19-Sep-2021 13:42:30 Power Supply Connected to GPIB
19-Sep-2021 13:42:49 OUTP ON
19-Sep-2021 13:42:54 Power Supply  ON
19-Sep-2021 13:42:58 Get IV Data
19-Sep-2021 13:42:58 Volt1 (V):  7.999467
19-Sep-2021 13:42:58 Volt2 (V):  8.017162
19-Sep-2021 13:42:58 Curr1 (A):  0.4058443
19-Sep-2021 13:42:58 Curr2 (A):  0.004086721
19-Sep-2021 13:42:58 Time (Sec):  4
19-Sep-2021 13:43:03 Get IV Data
19-Sep-2021 13:43:03 Volt1 (V):  7.999462
19-Sep-2021 13:43:03 Volt2 (V):  8.017083
19-Sep-2021 13:43:03 Curr1 (A):  0.4062062
19-Sep-2021 13:43:03 Curr2 (A):  0.004064828
19-Sep-2021 13:43:03 Time (Sec):  9
19-Sep-2021 13:43:08 Get IV Data
19-Sep-2021 13:43:08 Volt1 (V):  7.999505
19-Sep-2021 13:43:08 Volt2 (V):  8.01699
19-Sep-2021 13:43:08 Curr1 (A):  0.4079011
19-Sep-2021 13:43:08 Curr2 (A):  0.004054131
19-Sep-2021 13:43:08 Time (Sec):  13
19-Sep-2021 13:43:12 Get IV Data
19-Sep-2021 13:43:12 Volt1 (V):  7.99951
19-Sep-2021 13:43:12 Volt2 (V):  8.016873
19-Sep-2021 13:43:12 Curr1 (A):  0.412497
19-Sep-2021 13:43:12 Curr2 (A):  0.004100516
19-Sep-2021 13:43:12 Time (Sec):  18
19-Sep-2021 13:43:17 Get IV Data
19-Sep-2021 13:43:17 Volt1 (V):  7.999584
19-Sep-2021 13:43:17 Volt2 (V):  8.016804
19-Sep-2021 13:43:17 Curr1 (A):  0.4070114
19-Sep-2021 13:43:17 Curr2 (A):  0.00405963
19-Sep-2021 13:43:17 Time (Sec):  22
19-Sep-2021 13:43:21 Get IV Data
19-Sep-2021 13:43:21 Volt1 (V):  7.999483
19-Sep-2021 13:43:21 Volt2 (V):  8.016695
19-Sep-2021 13:43:21 Curr1 (A):  0.4046354
19-Sep-2021 13:43:21 Curr2 (A):  0.004118611
19-Sep-2021 13:43:21 Time (Sec):  27
19-Sep-2021 13:43:26 Get IV Data
19-Sep-2021 13:43:26 Volt1 (V):  7.999385
19-Sep-2021 13:43:26 Volt2 (V):  8.016726
19-Sep-2021 13:43:26 Curr1 (A):  0.4200448
19-Sep-2021 13:43:26 Curr2 (A):  0.004127608
19-Sep-2021 13:43:26 Time (Sec):  31
19-Sep-2021 13:43:30 Get IV Data
19-Sep-2021 13:43:30 Volt1 (V):  7.999551
19-Sep-2021 13:43:30 Volt2 (V):  8.016847
19-Sep-2021 13:43:30 Curr1 (A):  0.4652044
19-Sep-2021 13:43:30 Curr2 (A):  0.004092919
19-Sep-2021 13:43:30 Time (Sec):  36
19-Sep-2021 13:43:35 Get IV Data
19-Sep-2021 13:43:35 Volt1 (V):  7.999543
19-Sep-2021 13:43:35 Volt2 (V):  8.016862
19-Sep-2021 13:43:35 Curr1 (A):  0.4622982
19-Sep-2021 13:43:35 Curr2 (A):  0.004072626
19-Sep-2021 13:43:35 Time (Sec):  40
19-Sep-2021 13:43:39 Get IV Data
19-Sep-2021 13:43:39 Volt1 (V):  7.999488
19-Sep-2021 13:43:39 Volt2 (V):  8.01684
19-Sep-2021 13:43:39 Curr1 (A):  0.4469445
19-Sep-2021 13:43:39 Curr2 (A):  0.004108014
19-Sep-2021 13:43:39 Time (Sec):  45
19-Sep-2021 13:43:44 Get IV Data
19-Sep-2021 13:43:44 Volt1 (V):  7.999457
19-Sep-2021 13:43:44 Volt2 (V):  8.016813
19-Sep-2021 13:43:44 Curr1 (A):  0.4631849
19-Sep-2021 13:43:44 Curr2 (A):  0.004141103
19-Sep-2021 13:43:44 Time (Sec):  49
19-Sep-2021 13:43:48 Get IV Data
19-Sep-2021 13:43:48 Volt1 (V):  7.999408
19-Sep-2021 13:43:48 Volt2 (V):  8.01668
19-Sep-2021 13:43:48 Curr1 (A):  0.4628811
19-Sep-2021 13:43:48 Curr2 (A):  0.0041511
19-Sep-2021 13:43:48 Time (Sec):  54
19-Sep-2021 13:43:53 Get IV Data
19-Sep-2021 13:43:53 Volt1 (V):  7.999423
19-Sep-2021 13:43:53 Volt2 (V):  8.016697
19-Sep-2021 13:43:53 Curr1 (A):  0.4526436
19-Sep-2021 13:43:53 Curr2 (A):  0.004163097
19-Sep-2021 13:43:53 Time (Sec):  58
19-Sep-2021 13:43:57 Get IV Data
19-Sep-2021 13:43:57 Volt1 (V):  7.999462
19-Sep-2021 13:43:57 Volt2 (V):  8.016608
19-Sep-2021 13:43:57 Curr1 (A):  0.4553568
19-Sep-2021 13:43:57 Curr2 (A):  0.004165896
19-Sep-2021 13:43:57 Time (Sec):  63
19-Sep-2021 13:44:02 Get IV Data
19-Sep-2021 13:44:02 Volt1 (V):  7.999452
19-Sep-2021 13:44:02 Volt2 (V):  8.016665
19-Sep-2021 13:44:02 Curr1 (A):  0.4407249
19-Sep-2021 13:44:02 Curr2 (A):  0.004167495
19-Sep-2021 13:44:02 Time (Sec):  68
19-Sep-2021 13:44:07 Get IV Data
19-Sep-2021 13:44:07 Volt1 (V):  7.99964
19-Sep-2021 13:44:07 Volt2 (V):  8.016921
19-Sep-2021 13:44:07 Curr1 (A):  0.4617552
19-Sep-2021 13:44:07 Curr2 (A):  0.004124209
19-Sep-2021 13:44:07 Time (Sec):  72
19-Sep-2021 13:44:11 Get IV Data
19-Sep-2021 13:44:11 Volt1 (V):  7.999667
19-Sep-2021 13:44:11 Volt2 (V):  8.016906
19-Sep-2021 13:44:11 Curr1 (A):  0.4298463
19-Sep-2021 13:44:11 Curr2 (A):  0.004128607
19-Sep-2021 13:44:11 Time (Sec):  77
19-Sep-2021 13:44:16 Get IV Data
19-Sep-2021 13:44:16 Volt1 (V):  7.99964
19-Sep-2021 13:44:16 Volt2 (V):  8.016912
19-Sep-2021 13:44:16 Curr1 (A):  0.4711903
19-Sep-2021 13:44:16 Curr2 (A):  0.004119011
19-Sep-2021 13:44:16 Time (Sec):  81
19-Sep-2021 13:44:20 Get IV Data
19-Sep-2021 13:44:20 Volt1 (V):  7.999721
19-Sep-2021 13:44:20 Volt2 (V):  8.016929
19-Sep-2021 13:44:20 Curr1 (A):  0.4375979
19-Sep-2021 13:44:20 Curr2 (A):  0.0041504
19-Sep-2021 13:44:20 Time (Sec):  86
19-Sep-2021 13:44:25 Get IV Data
19-Sep-2021 13:44:25 Volt1 (V):  7.999653
19-Sep-2021 13:44:25 Volt2 (V):  8.01691
19-Sep-2021 13:44:25 Curr1 (A):  0.4389326
19-Sep-2021 13:44:25 Curr2 (A):  0.004144003
19-Sep-2021 13:44:25 Time (Sec):  90
19-Sep-2021 13:44:29 Get IV Data
19-Sep-2021 13:44:29 Volt1 (V):  7.999625
19-Sep-2021 13:44:29 Volt2 (V):  8.016926
19-Sep-2021 13:44:29 Curr1 (A):  0.4510051
19-Sep-2021 13:44:29 Curr2 (A):  0.004151001
