03-Aug-2021 16:44:49 Power Supply Connected to GPIB
03-Aug-2021 16:45:06 OUTP ON
03-Aug-2021 16:45:09 Power Supply  ON
03-Aug-2021 16:45:14 Get IV Data
03-Aug-2021 16:45:14 Volt1 (V):  6.999382
03-Aug-2021 16:45:14 Volt2 (V):  6.988518
03-Aug-2021 16:45:14 Curr1 (A):  0.4414314
03-Aug-2021 16:45:14 Curr2 (A):  0.1104446
03-Aug-2021 16:45:14 Time (Sec):  4
03-Aug-2021 16:45:18 Get IV Data
03-Aug-2021 16:45:18 Volt1 (V):  6.999339
03-Aug-2021 16:45:18 Volt2 (V):  6.988571
03-Aug-2021 16:45:18 Curr1 (A):  0.4275011
03-Aug-2021 16:45:18 Curr2 (A):  0.1091902
03-Aug-2021 16:45:18 Time (Sec):  9
03-Aug-2021 16:45:23 Get IV Data
03-Aug-2021 16:45:23 Volt1 (V):  6.999218
03-Aug-2021 16:45:23 Volt2 (V):  6.988552
03-Aug-2021 16:45:23 Curr1 (A):  0.4408359
03-Aug-2021 16:45:23 Curr2 (A):  0.1116631
03-Aug-2021 16:45:23 Time (Sec):  13
03-Aug-2021 16:45:27 Get IV Data
03-Aug-2021 16:45:27 Volt1 (V):  6.999181
03-Aug-2021 16:45:27 Volt2 (V):  6.988634
03-Aug-2021 16:45:27 Curr1 (A):  0.4355831
03-Aug-2021 16:45:27 Curr2 (A):  0.1120654
03-Aug-2021 16:45:27 Time (Sec):  18
03-Aug-2021 16:45:32 Get IV Data
03-Aug-2021 16:45:32 Volt1 (V):  6.999095
03-Aug-2021 16:45:32 Volt2 (V):  6.988561
03-Aug-2021 16:45:32 Curr1 (A):  0.4464374
03-Aug-2021 16:45:32 Curr2 (A):  0.109755
03-Aug-2021 16:45:32 Time (Sec):  22
03-Aug-2021 16:45:36 Get IV Data
03-Aug-2021 16:45:36 Volt1 (V):  6.999208
03-Aug-2021 16:45:36 Volt2 (V):  6.988495
03-Aug-2021 16:45:36 Curr1 (A):  0.4457907
03-Aug-2021 16:45:36 Curr2 (A):  0.1082106
03-Aug-2021 16:45:36 Time (Sec):  27
03-Aug-2021 16:45:41 Get IV Data
03-Aug-2021 16:45:41 Volt1 (V):  6.99928
03-Aug-2021 16:45:41 Volt2 (V):  6.988592
03-Aug-2021 16:45:41 Curr1 (A):  0.4471114
03-Aug-2021 16:45:41 Curr2 (A):  0.1107791
03-Aug-2021 16:45:41 Time (Sec):  31
03-Aug-2021 16:45:46 Get IV Data
03-Aug-2021 16:45:46 Volt1 (V):  6.99927
03-Aug-2021 16:45:46 Volt2 (V):  6.988454
03-Aug-2021 16:45:46 Curr1 (A):  0.4598171
03-Aug-2021 16:45:46 Curr2 (A):  0.1094869
03-Aug-2021 16:45:46 Time (Sec):  36
