date,series,value
2000-01-01,T1,27.0
2000-02-01,T1,16.0
2000-03-01,T1,18.0
2000-04-01,T1,19.0
2000-05-01,T1,21.0
2000-06-01,T1,20.0
2000-07-01,T1,20.0
2000-08-01,T1,23.0
2000-09-01,T1,26.0
2000-10-01,T1,21.0
2000-11-01,T1,17.0
2000-12-01,T1,24.0
2001-01-01,T1,8.0
2001-02-01,T1,1.0
2001-03-01,T1,3.0
2001-04-01,T1,4.0
2001-05-01,T1,7.0
2001-06-01,T1,13.0
2001-07-01,T1,6.0
2001-08-01,T1,2.0
2001-09-01,T1,12.0
2001-10-01,T1,8.0
2001-11-01,T1,5.0
2001-12-01,T1,4.0
2002-01-01,T1,11.0
2002-02-01,T1,8.0
2002-03-01,T1,5.0
2002-04-01,T1,2.0
2002-05-01,T1,3.0
2002-06-01,T1,4.0
2002-07-01,T1,5.0
2002-08-01,T1,6.0
2002-09-01,T1,2.0
2002-10-01,T1,3.0
2002-11-01,T1,5.0
2002-12-01,T1,10.0
2003-01-01,T1,20.0
2003-02-01,T1,23.0
2003-03-01,T1,14.0
2003-04-01,T1,20.0
2003-05-01,T1,23.0
2003-06-01,T1,17.0
2003-07-01,T1,7.0
2003-08-01,T1,13.0
2003-09-01,T1,17.0
2003-10-01,T1,12.0
2003-11-01,T1,15.0
2003-12-01,T1,10.0
2004-01-01,T1,15.0
2004-02-01,T1,9.0
2004-03-01,T1,14.0
2004-04-01,T1,15.0
2004-05-01,T1,12.0
2004-06-01,T1,13.0
2004-07-01,T1,16.0
2004-08-01,T1,13.0
2004-09-01,T1,15.0
2004-10-01,T1,16.0
2004-11-01,T1,21.0
2004-12-01,T1,12.0
2005-01-01,T1,14.0
2005-02-01,T1,15.0
2005-03-01,T1,21.0
2005-04-01,T1,20.0
2005-05-01,T1,12.0
2005-06-01,T1,14.0
2005-07-01,T1,11.0
2005-08-01,T1,15.0
2005-09-01,T1,20.0
2005-10-01,T1,11.0
2005-11-01,T1,11.0
2005-12-01,T1,19.0
2006-01-01,T1,13.0
2006-02-01,T1,19.0
2006-03-01,T1,18.0
2006-04-01,T1,14.0
2006-05-01,T1,6.0
2006-06-01,T1,15.0
2006-07-01,T1,21.0
2006-08-01,T1,17.0
2006-09-01,T1,14.0
2006-10-01,T1,12.0
2006-11-01,T1,8.0
2006-12-01,T1,17.0
2000-01-01,T2,10.0
2000-02-01,T2,7.0
2000-03-01,T2,14.0
2000-04-01,T2,9.0
2000-05-01,T2,18.0
2000-06-01,T2,14.0
2000-07-01,T2,8.0
2000-08-01,T2,22.0
2000-09-01,T2,13.0
2000-10-01,T2,14.0
2000-11-01,T2,15.0
2000-12-01,T2,6.0
2001-01-01,T2,2.0
2001-02-01,T2,8.0
2001-03-01,T2,4.0
2001-04-01,T2,5.0
2001-05-01,T2,4.0
2001-06-01,T2,4.0
2001-07-01,T2,4.0
2001-08-01,T2,2.0
2001-09-01,T2,4.0
2001-10-01,T2,6.0
2001-11-01,T2,7.0
2001-12-01,T2,6.0
2002-01-01,T2,8.0
2002-02-01,T2,2.0
2002-03-01,T2,5.0
2002-04-01,T2,4.0
2002-05-01,T2,7.0
2002-06-01,T2,6.0
2002-07-01,T2,4.0
2002-08-01,T2,3.0
2002-09-01,T2,5.0
2002-10-01,T2,6.0
2002-11-01,T2,6.0
2002-12-01,T2,7.0
2003-01-01,T2,13.0
2003-02-01,T2,7.0
2003-03-01,T2,15.0
2003-04-01,T2,12.0
2003-05-01,T2,11.0
2003-06-01,T2,10.0
2003-07-01,T2,9.0
2003-08-01,T2,12.0
2003-09-01,T2,9.0
