19-Sep-2021 12:05:37 Power Supply Connected to GPIB
19-Sep-2021 12:05:46 OUTP ON
19-Sep-2021 12:08:15 Power Supply Connected to GPIB
19-Sep-2021 12:08:26 OUTP ON
19-Sep-2021 12:08:57 Power Supply Connected to GPIB
19-Sep-2021 12:09:06 OUTP ON
19-Sep-2021 12:37:51 Power Supply Connected to GPIB
19-Sep-2021 12:38:02 OUTP ON
19-Sep-2021 12:38:10 OUTP OFF
19-Sep-2021 13:11:42 Power Supply Connected to GPIB
19-Sep-2021 13:11:50 OUTP ON
19-Sep-2021 13:11:53 Power Supply  ON
19-Sep-2021 13:11:58 Get IV Data
19-Sep-2021 13:11:58 Volt1 (V):  6.998599
19-Sep-2021 13:11:58 Volt2 (V):  6.986611
19-Sep-2021 13:11:58 Curr1 (A):  0.4065219
19-Sep-2021 13:11:58 Curr2 (A):  -0.002249218
19-Sep-2021 13:11:58 Time (Sec):  4
19-Sep-2021 13:12:02 Get IV Data
19-Sep-2021 13:12:02 Volt1 (V):  6.998806
19-Sep-2021 13:12:02 Volt2 (V):  6.986628
19-Sep-2021 13:12:02 Curr1 (A):  0.403176
19-Sep-2021 13:12:02 Curr2 (A):  -0.002238748
19-Sep-2021 13:12:02 Time (Sec):  9
19-Sep-2021 13:12:07 Get IV Data
19-Sep-2021 13:12:07 Volt1 (V):  6.998688
19-Sep-2021 13:12:07 Volt2 (V):  6.98653
19-Sep-2021 13:12:07 Curr1 (A):  0.3991089
19-Sep-2021 13:12:07 Curr2 (A):  -0.002233763
19-Sep-2021 13:12:07 Time (Sec):  13
19-Sep-2021 13:12:11 Get IV Data
19-Sep-2021 13:12:11 Volt1 (V):  6.998621
19-Sep-2021 13:12:11 Volt2 (V):  6.986464
19-Sep-2021 13:12:11 Curr1 (A):  0.4151803
19-Sep-2021 13:12:11 Curr2 (A):  -0.002232766
19-Sep-2021 13:12:11 Time (Sec):  18
19-Sep-2021 13:12:16 Get IV Data
19-Sep-2021 13:12:16 Volt1 (V):  6.99879
19-Sep-2021 13:12:16 Volt2 (V):  6.986433
19-Sep-2021 13:12:16 Curr1 (A):  0.3988155
19-Sep-2021 13:12:16 Curr2 (A):  -0.002238549
19-Sep-2021 13:12:16 Time (Sec):  22
19-Sep-2021 13:12:21 Get IV Data
19-Sep-2021 13:12:21 Volt1 (V):  6.998901
19-Sep-2021 13:12:21 Volt2 (V):  6.986388
19-Sep-2021 13:12:21 Curr1 (A):  0.398448
19-Sep-2021 13:12:21 Curr2 (A):  -0.002231968
19-Sep-2021 13:12:21 Time (Sec):  27
19-Sep-2021 13:12:25 Get IV Data
19-Sep-2021 13:12:25 Volt1 (V):  6.998586
19-Sep-2021 13:12:25 Volt2 (V):  6.986411
19-Sep-2021 13:12:25 Curr1 (A):  0.4023209
19-Sep-2021 13:12:25 Curr2 (A):  -0.002191486
19-Sep-2021 13:12:25 Time (Sec):  31
19-Sep-2021 13:12:30 Get IV Data
19-Sep-2021 13:12:30 Volt1 (V):  6.998712
19-Sep-2021 13:12:30 Volt2 (V):  6.986424
19-Sep-2021 13:12:30 Curr1 (A):  0.4021035
19-Sep-2021 13:12:30 Curr2 (A):  -0.002207938
19-Sep-2021 13:12:30 Time (Sec):  36
19-Sep-2021 13:12:34 Get IV Data
19-Sep-2021 13:12:34 Volt1 (V):  6.998725
19-Sep-2021 13:12:34 Volt2 (V):  6.986485
19-Sep-2021 13:12:34 Curr1 (A):  0.4147598
19-Sep-2021 13:12:34 Curr2 (A):  -0.002199462
19-Sep-2021 13:12:34 Time (Sec):  40
19-Sep-2021 13:12:39 Get IV Data
19-Sep-2021 13:12:39 Volt1 (V):  6.998796
19-Sep-2021 13:12:39 Volt2 (V):  6.986413
19-Sep-2021 13:12:39 Curr1 (A):  0.3954804
19-Sep-2021 13:12:39 Curr2 (A):  -0.00220375
19-Sep-2021 13:12:39 Time (Sec):  45
19-Sep-2021 13:12:43 Get IV Data
19-Sep-2021 13:12:43 Volt1 (V):  6.998804
19-Sep-2021 13:12:43 Volt2 (V):  6.986495
19-Sep-2021 13:12:43 Curr1 (A):  0.4518919
19-Sep-2021 13:12:43 Curr2 (A):  -0.002214718
19-Sep-2021 13:12:43 Time (Sec):  49
19-Sep-2021 13:12:48 Get IV Data
19-Sep-2021 13:12:48 Volt1 (V):  6.998775
19-Sep-2021 13:12:48 Volt2 (V):  6.986417
19-Sep-2021 13:12:48 Curr1 (A):  0.4490224
19-Sep-2021 13:12:48 Curr2 (A):  -0.002220302
19-Sep-2021 13:12:48 Time (Sec):  54
19-Sep-2021 13:12:52 Get IV Data
19-Sep-2021 13:12:52 Volt1 (V):  6.998736
19-Sep-2021 13:12:52 Volt2 (V):  6.986356
19-Sep-2021 13:12:52 Curr1 (A):  0.4634101
19-Sep-2021 13:12:52 Curr2 (A):  -0.002198665
19-Sep-2021 13:12:52 Time (Sec):  59
19-Sep-2021 13:12:57 Get IV Data
19-Sep-2021 13:12:57 Volt1 (V):  6.998633
19-Sep-2021 13:12:57 Volt2 (V):  6.986287
19-Sep-2021 13:12:57 Curr1 (A):  0.4697333
19-Sep-2021 13:12:57 Curr2 (A):  -0.002196471
19-Sep-2021 13:12:57 Time (Sec):  63
19-Sep-2021 13:13:01 Get IV Data
19-Sep-2021 13:13:01 Volt1 (V):  6.998581
19-Sep-2021 13:13:01 Volt2 (V):  6.986039
19-Sep-2021 13:13:01 Curr1 (A):  0.4495196
19-Sep-2021 13:13:01 Curr2 (A):  -0.002182212
19-Sep-2021 13:13:01 Time (Sec):  68
19-Sep-2021 13:13:06 Get IV Data
19-Sep-2021 13:13:06 Volt1 (V):  6.998645
19-Sep-2021 13:13:06 Volt2 (V):  6.986065
19-Sep-2021 13:13:06 Curr1 (A):  0.4576966
19-Sep-2021 13:13:06 Curr2 (A):  -0.002182212
19-Sep-2021 13:13:06 Time (Sec):  72
19-Sep-2021 13:13:10 Get IV Data
19-Sep-2021 13:13:10 Volt1 (V):  6.998614
19-Sep-2021 13:13:10 Volt2 (V):  6.986056
19-Sep-2021 13:13:10 Curr1 (A):  0.4638849
19-Sep-2021 13:13:10 Curr2 (A):  -0.002181913
19-Sep-2021 13:13:10 Time (Sec):  77
19-Sep-2021 13:13:15 Get IV Data
19-Sep-2021 13:13:15 Volt1 (V):  6.998751
19-Sep-2021 13:13:15 Volt2 (V):  6.986127
19-Sep-2021 13:13:15 Curr1 (A):  0.4674077
19-Sep-2021 13:13:15 Curr2 (A):  -0.002210131
19-Sep-2021 13:13:15 Time (Sec):  81
19-Sep-2021 13:13:20 Get IV Data
19-Sep-2021 13:13:20 Volt1 (V):  6.998725
19-Sep-2021 13:13:20 Volt2 (V):  6.98625
19-Sep-2021 13:13:20 Curr1 (A):  0.4477534
19-Sep-2021 13:13:20 Curr2 (A):  -0.002220601
19-Sep-2021 13:13:20 Time (Sec):  86
19-Sep-2021 13:13:24 Get IV Data
19-Sep-2021 13:13:24 Volt1 (V):  6.998734
19-Sep-2021 13:13:24 Volt2 (V):  6.986119
19-Sep-2021 13:13:24 Curr1 (A):  0.4451232
19-Sep-2021 13:13:24 Curr2 (A):  -0.002194477
19-Sep-2021 13:13:24 Time (Sec):  90
19-Sep-2021 13:13:29 Get IV Data
19-Sep-2021 13:13:29 Volt1 (V):  6.998839
19-Sep-2021 13:13:29 Volt2 (V):  6.986007
19-Sep-2021 13:13:29 Curr1 (A):  0.4490355
19-Sep-2021 13:13:29 Curr2 (A):  -0.002226584
19-Sep-2021 13:13:29 Time (Sec):  95
19-Sep-2021 13:13:33 Get IV Data
19-Sep-2021 13:13:33 Volt1 (V):  6.998682
19-Sep-2021 13:13:33 Volt2 (V):  6.986088
19-Sep-2021 13:13:33 Curr1 (A):  0.4546688
19-Sep-2021 13:13:33 Curr2 (A):  -0.00220714
19-Sep-2021 13:13:33 Time (Sec):  99
19-Sep-2021 13:13:38 Get IV Data
19-Sep-2021 13:13:38 Volt1 (V):  6.998596
19-Sep-2021 13:13:38 Volt2 (V):  6.986
19-Sep-2021 13:13:38 Curr1 (A):  0.4585717
19-Sep-2021 13:13:38 Curr2 (A):  -0.002183708
19-Sep-2021 13:13:38 Time (Sec):  104
19-Sep-2021 13:13:42 Get IV Data
19-Sep-2021 13:13:42 Volt1 (V):  6.998703
19-Sep-2021 13:13:42 Volt2 (V):  6.986029
19-Sep-2021 13:13:42 Curr1 (A):  0.4534179
19-Sep-2021 13:13:42 Curr2 (A):  -0.002183708
19-Sep-2021 13:13:42 Time (Sec):  108
19-Sep-2021 13:13:47 Get IV Data
19-Sep-2021 13:13:47 Volt1 (V):  6.998626
19-Sep-2021 13:13:47 Volt2 (V):  6.986187
19-Sep-2021 13:13:47 Curr1 (A):  0.4604194
19-Sep-2021 13:13:47 Curr2 (A):  -0.002175631
19-Sep-2021 13:13:47 Time (Sec):  113
19-Sep-2021 13:13:51 Get IV Data
