04-Aug-2021 11:36:11 Power Supply  ON
04-Aug-2021 11:36:18 Get IV Data
04-Aug-2021 11:36:18 Volt1 (V):  6.997262
04-Aug-2021 11:36:18 Volt2 (V):  7.032975
04-Aug-2021 11:36:18 Curr1 (A):  0.47229
04-Aug-2021 11:36:18 Curr2 (A):  0.1090331
04-Aug-2021 11:36:18 Time (Sec):  7
04-Aug-2021 11:36:25 Get IV Data
04-Aug-2021 11:36:25 Volt1 (V):  6.997201
04-Aug-2021 11:36:25 Volt2 (V):  7.03288
04-Aug-2021 11:36:25 Curr1 (A):  0.4909717
04-Aug-2021 11:36:25 Curr2 (A):  0.1111956
04-Aug-2021 11:36:25 Time (Sec):  14
04-Aug-2021 11:36:32 Get IV Data
04-Aug-2021 11:36:32 Volt1 (V):  6.997149
04-Aug-2021 11:36:32 Volt2 (V):  7.032967
04-Aug-2021 11:36:32 Curr1 (A):  0.4763479
04-Aug-2021 11:36:32 Curr2 (A):  0.1095744
04-Aug-2021 11:36:32 Time (Sec):  21
04-Aug-2021 11:36:39 Get IV Data
04-Aug-2021 11:36:39 Volt1 (V):  6.997284
04-Aug-2021 11:36:39 Volt2 (V):  7.032891
04-Aug-2021 11:36:39 Curr1 (A):  0.4785543
04-Aug-2021 11:36:39 Curr2 (A):  0.1115733
04-Aug-2021 11:36:39 Time (Sec):  28
04-Aug-2021 11:36:46 Get IV Data
04-Aug-2021 11:36:46 Volt1 (V):  6.997372
04-Aug-2021 11:36:46 Volt2 (V):  7.032956
04-Aug-2021 11:36:46 Curr1 (A):  0.4796437
04-Aug-2021 11:36:46 Curr2 (A):  0.1103476
04-Aug-2021 11:36:46 Time (Sec):  35
04-Aug-2021 11:36:53 Get IV Data
04-Aug-2021 11:36:53 Volt1 (V):  6.997209
04-Aug-2021 11:36:53 Volt2 (V):  7.032982
04-Aug-2021 11:36:53 Curr1 (A):  0.4845656
04-Aug-2021 11:36:53 Curr2 (A):  0.1123375
04-Aug-2021 11:36:53 Time (Sec):  42
04-Aug-2021 11:37:00 Get IV Data
04-Aug-2021 11:37:00 Volt1 (V):  6.997335
04-Aug-2021 11:37:00 Volt2 (V):  7.032949
04-Aug-2021 11:37:00 Curr1 (A):  0.4780756
04-Aug-2021 11:37:00 Curr2 (A):  0.1110042
04-Aug-2021 11:37:00 Time (Sec):  49
04-Aug-2021 11:37:07 Get IV Data
04-Aug-2021 11:37:07 Volt1 (V):  6.997315
04-Aug-2021 11:37:07 Volt2 (V):  7.03296
04-Aug-2021 11:37:07 Curr1 (A):  0.4644065
04-Aug-2021 11:37:07 Curr2 (A):  0.1107416
04-Aug-2021 11:37:07 Time (Sec):  56
04-Aug-2021 11:37:14 Get IV Data
04-Aug-2021 11:37:14 Volt1 (V):  6.99727
