DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:14,4,6.999382,6.988518,0.4414314,0.1104446
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:18,9,6.999339,6.988571,0.4275011,0.1091902
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:23,13,6.999218,6.988552,0.4408359,0.1116631
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:27,18,6.999181,6.988634,0.4355831,0.1120654
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:32,22,6.999095,6.988561,0.4464374,0.109755
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:36,27,6.999208,6.988495,0.4457907,0.1082106
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:41,31,6.99928,6.988592,0.4471114,0.1107791
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:46,36,6.99927,6.988454,0.4598171,0.1094869
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:50,40,6.999279,6.988606,0.4393182,0.109365
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:55,45,6.999349,6.988608,0.4600268,0.112203
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:45:59,49,6.999321,6.988495,0.4523057,0.1097876
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:04,54,6.999257,6.988179,0.4485529,0.1095402
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:08,58,6.999191,6.988089,0.4373481,0.1092261
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:13,63,6.999232,6.988184,0.4466443,0.1096024
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:17,67,6.999382,6.988126,0.4493913,0.1090823
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:22,72,6.999276,6.988212,0.4452657,0.1091676
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:26,76,6.999388,6.988089,0.4581888,0.1093508
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:31,81,6.99929,6.988202,0.445549,0.1105807
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:46:37,87,6.999253,6.988197,0.4514996,0.1091727
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:54:01,4,6.999246,6.988161,0.4472967,0.1084728
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:54:06,8,6.9992,6.987919,0.4417796,0.1083253
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 16:54:10,13,6.999291,6.98795,0.4543476,0.1131687
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:26:45,6,1.259852,-0.009140472,-0.1563136,-0.002396989
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:26:52,14,1.260695,-0.00928871,-0.1563228,-0.002400279
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:26:59,21,1.260502,-0.009305975,-0.1563184,-0.002412942
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:27:06,28,1.258903,-0.009261757,-0.1563402,-0.002404567
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:27:21,37,1.26071,-0.009327875,-0.1563387,-0.002414737
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:27:25,46,6.99915,6.989026,0.4641097,0.1014278
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:27:32,53,6.999137,6.988985,0.4710949,0.1017449
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:27:39,60,6.999254,6.98891,0.4671614,0.1001071
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:27:46,67,6.999198,6.988793,0.4718175,0.1020973
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:27:53,74,6.999296,6.988796,0.4811496,0.1061815
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:28:03,81,6.999383,6.988766,0.4602538,0.1038866
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:28:07,88,6.999225,6.988682,0.4482,0.1012887
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
03-Aug-2021 20:28:14,96,6.999301,6.988675,0.4745412,0.1014432
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
