03-Aug-2021 16:46:35 Power Supply Connected to GPIB
03-Aug-2021 16:46:51 OUTP ON
03-Aug-2021 16:46:57 Power Supply  ON
03-Aug-2021 16:47:02 Get IV Data
03-Aug-2021 16:47:02 Volt1 (V):  6.999294
03-Aug-2021 16:47:02 Volt2 (V):  6.988008
03-Aug-2021 16:47:02 Curr1 (A):  0.4559408
03-Aug-2021 16:47:02 Curr2 (A):  0.1095183
03-Aug-2021 16:47:02 Time (Sec):  4
03-Aug-2021 16:47:07 Get IV Data
03-Aug-2021 16:47:07 Volt1 (V):  6.999325
03-Aug-2021 16:47:07 Volt2 (V):  6.988068
03-Aug-2021 16:47:07 Curr1 (A):  0.4401956
03-Aug-2021 16:47:07 Curr2 (A):  0.1086074
03-Aug-2021 16:47:07 Time (Sec):  9
03-Aug-2021 16:47:11 Get IV Data
03-Aug-2021 16:47:11 Volt1 (V):  6.999346
03-Aug-2021 16:47:11 Volt2 (V):  6.988049
03-Aug-2021 16:47:11 Curr1 (A):  0.448505
03-Aug-2021 16:47:11 Curr2 (A):  0.1091808
03-Aug-2021 16:47:11 Time (Sec):  13
03-Aug-2021 16:47:16 Get IV Data
03-Aug-2021 16:47:16 Volt1 (V):  6.999384
03-Aug-2021 16:47:16 Volt2 (V):  6.988177
03-Aug-2021 16:47:16 Curr1 (A):  0.4420539
03-Aug-2021 16:47:16 Curr2 (A):  0.1100966
03-Aug-2021 16:47:16 Time (Sec):  18
03-Aug-2021 16:47:20 Get IV Data
03-Aug-2021 16:47:20 Volt1 (V):  6.999277
03-Aug-2021 16:47:20 Volt2 (V):  6.988164
03-Aug-2021 16:47:20 Curr1 (A):  0.4385403
03-Aug-2021 16:47:20 Curr2 (A):  0.1085202
03-Aug-2021 16:47:20 Time (Sec):  22
03-Aug-2021 16:47:25 Get IV Data
03-Aug-2021 16:47:25 Volt1 (V):  6.999363
03-Aug-2021 16:47:25 Volt2 (V):  6.988049
03-Aug-2021 16:47:25 Curr1 (A):  0.4494972
03-Aug-2021 16:47:25 Curr2 (A):  0.1079444
03-Aug-2021 16:47:25 Time (Sec):  27
03-Aug-2021 16:47:29 Get IV Data
03-Aug-2021 16:47:29 Volt1 (V):  6.999331
03-Aug-2021 16:47:29 Volt2 (V):  6.987984
03-Aug-2021 16:47:29 Curr1 (A):  0.4456197
03-Aug-2021 16:47:29 Curr2 (A):  0.1074695
03-Aug-2021 16:47:29 Time (Sec):  31
03-Aug-2021 16:47:34 Get IV Data
03-Aug-2021 16:47:34 Volt1 (V):  6.999298
03-Aug-2021 16:47:34 Volt2 (V):  6.988075
03-Aug-2021 16:47:34 Curr1 (A):  0.4545591
