date,series,value
2020-01-22,T1,0.0
2020-01-23,T1,0.0
2020-01-24,T1,0.0
2020-01-25,T1,0.0
2020-01-26,T1,0.0
2020-01-27,T1,0.0
2020-01-28,T1,0.0
2020-01-29,T1,0.0
2020-01-30,T1,0.0
2020-01-31,T1,0.0
2020-02-01,T1,0.0
2020-02-02,T1,0.0
2020-02-03,T1,0.0
2020-02-04,T1,0.0
2020-02-05,T1,0.0
2020-02-06,T1,0.0
2020-02-07,T1,0.0
2020-02-08,T1,0.0
2020-02-09,T1,0.0
2020-02-10,T1,0.0
2020-02-11,T1,0.0
2020-02-12,T1,0.0
2020-02-13,T1,0.0
2020-02-14,T1,0.0
2020-02-15,T1,0.0
2020-02-16,T1,0.0
2020-02-17,T1,0.0
2020-02-18,T1,0.0
2020-02-19,T1,0.0
2020-02-20,T1,0.0
2020-02-21,T1,0.0
2020-02-22,T1,0.0
2020-02-23,T1,0.0
2020-02-24,T1,0.0
2020-02-25,T1,0.0
2020-02-26,T1,0.0
2020-02-27,T1,0.0
2020-02-28,T1,0.0
2020-02-29,T1,0.0
2020-03-01,T1,0.0
2020-03-02,T1,0.0
2020-03-03,T1,0.0
2020-03-04,T1,0.0
2020-03-05,T1,0.0
2020-03-06,T1,0.0
2020-03-07,T1,0.0
2020-03-08,T1,0.0
2020-03-09,T1,0.0
2020-03-10,T1,0.0
2020-03-11,T1,0.0
2020-03-12,T1,0.0
2020-03-13,T1,0.0
2020-03-14,T1,0.0
2020-03-15,T1,0.0
2020-03-16,T1,0.0
2020-03-17,T1,0.0
2020-03-18,T1,0.0
2020-03-19,T1,0.0
2020-03-20,T1,0.0
2020-03-21,T1,0.0
2020-03-22,T1,1.0
2020-03-23,T1,1.0
2020-03-24,T1,1.0
2020-03-25,T1,2.0
2020-03-26,T1,4.0
2020-03-27,T1,4.0
2020-03-28,T1,4.0
2020-03-29,T1,4.0
2020-03-30,T1,4.0
2020-03-31,T1,4.0
2020-04-01,T1,4.0
2020-04-02,T1,6.0
2020-04-03,T1,6.0
2020-04-04,T1,7.0
2020-04-05,T1,7.0
2020-04-06,T1,11.0
2020-04-07,T1,14.0
2020-04-08,T1,14.0
2020-04-09,T1,15.0
2020-04-10,T1,15.0
2020-04-11,T1,18.0
2020-04-12,T1,18.0
2020-04-13,T1,21.0
2020-04-14,T1,23.0
2020-04-15,T1,25.0
2020-04-16,T1,30.0
2020-04-17,T1,30.0
2020-04-18,T1,30.0
2020-04-19,T1,33.0
2020-04-20,T1,36.0
2020-04-21,T1,36.0
2020-04-22,T1,40.0
2020-04-23,T1,42.0
2020-04-24,T1,43.0
2020-04-25,T1,47.0
2020-04-26,T1,50.0
2020-04-27,T1,57.0
2020-04-28,T1,58.0
2020-04-29,T1,60.0
2020-04-30,T1,64.0
2020-05-01,T1,68.0
2020-05-02,T1,72.0
2020-05-03,T1,85.0
2020-05-04,T1,90.0
2020-05-05,T1,95.0
2020-05-06,T1,104.0
2020-05-07,T1,106.0
2020-05-08,T1,109.0
2020-05-09,T1,115.0
2020-05-10,T1,120.0
2020-05-11,T1,122.0
2020-05-12,T1,127.0
2020-05-13,T1,132.0
2020-05-14,T1,136.0
2020-05-15,T1,153.0
2020-05-16,T1,168.0
2020-05-17,T1,169.0
2020-05-18,T1,173.0
2020-05-19,T1,178.0
2020-05-20,T1,187.0
2020-05-21,T1,193.0
2020-05-22,T1,205.0
2020-05-23,T1,216.0
2020-05-24,T1,218.0
2020-05-25,T1,219.0
2020-05-26,T1,220.0
2020-05-27,T1,227.0
2020-05-28,T1,235.0
2020-05-29,T1,246.0
2020-05-30,T1,249.0
2020-05-31,T1,257.0
2020-06-01,T1,265.0
2020-06-02,T1,270.0
2020-06-03,T1,294.0
2020-06-04,T1,300.0
2020-06-05,T1,309.0
2020-06-06,T1,327.0
2020-06-07,T1,357.0
2020-06-08,T1,369.0
2020-06-09,T1,384.0
2020-06-10,T1,405.0
2020-06-11,T1,426.0
2020-06-12,T1,446.0
2020-06-13,T1,451.0
2020-06-14,T1,471.0
2020-06-15,T1,478.0
2020-06-16,T1,491.0
2020-06-17,T1,504.0
2020-06-18,T1,546.0
2020-06-19,T1,548.0
2020-06-20,T1,569.0
2020-06-21,T1,581.0
2020-06-22,T1,598.0
2020-06-23,T1,618.0
2020-06-24,T1,639.0
2020-06-25,T1,675.0
2020-06-26,T1,683.0
2020-06-27,T1,703.0
2020-06-28,T1,721.0
2020-06-29,T1,733.0
2020-06-30,T1,746.0
2020-07-01,T1,774.0
2020-07-02,T1,807.0
2020-07-03,T1,819.0
2020-07-04,T1,826.0
2020-07-05,T1,864.0
2020-07-06,T1,898.0
2020-07-07,T1,920.0
2020-07-08,T1,936.0
2020-07-09,T1,957.0
2020-07-10,T1,971.0
2020-07-11,T1,994.0
2020-07-12,T1,1010.0
2020-07-13,T1,1012.0
2020-07-14,T1,1048.0
2020-07-15,T1,1094.0
2020-07-16,T1,1113.0
2020-07-17,T1,1147.0
2020-07-18,T1,1164.0
2020-07-19,T1,1181.0
2020-07-20,T1,1185.0
2020-07-21,T1,1186.0
2020-07-22,T1,1190.0
2020-07-23,T1,1211.0
2020-07-24,T1,1225.0
2020-07-25,T1,1248.0
2020-07-26,T1,1259.0
2020-07-27,T1,1269.0
2020-07-28,T1,1270.0
2020-07-29,T1,1271.0
2020-07-30,T1,1271.0
2020-07-31,T1,1272.0
2020-08-01,T1,1283.0
2020-08-02,T1,1284.0
2020-08-03,T1,1288.0
2020-08-04,T1,1288.0
2020-08-05,T1,1294.0
2020-08-06,T1,1298.0
2020-08-07,T1,1307.0
2020-08-08,T1,1312.0
2020-08-09,T1,1312.0
2020-08-10,T1,1328.0
2020-08-11,T1,1344.0
2020-08-12,T1,1354.0
2020-08-13,T1,1363.0
2020-08-14,T1,1363.0
