date,series,value
1990-01-01,T1,2640.0
1990-02-01,T1,2640.0
1990-03-01,T1,2160.0
1990-04-01,T1,4200.0
1990-05-01,T1,3360.0
1990-06-01,T1,2400.0
1990-07-01,T1,3600.0
1990-08-01,T1,1920.0
1990-09-01,T1,4200.0
1990-10-01,T1,4560.0
1990-11-01,T1,480.0
1990-12-01,T1,3720.0
1991-01-01,T1,5640.0
1991-02-01,T1,2880.0
1991-03-01,T1,1800.0
1991-04-01,T1,3120.0
1991-05-01,T1,2400.0
1991-06-01,T1,2520.0
1991-07-01,T1,9000.0
1991-08-01,T1,2640.0
1991-09-01,T1,3120.0
1991-10-01,T1,2880.0
1991-11-01,T1,8760.0
1991-12-01,T1,5160.0
1992-01-01,T1,2160.0
1992-02-01,T1,8280.0
1992-03-01,T1,4920.0
1992-04-01,T1,3120.0
1992-05-01,T1,6600.0
1992-06-01,T1,4080.0
1992-07-01,T1,5880.0
1992-08-01,T1,1680.0
1992-09-01,T1,6720.0
1992-10-01,T1,2040.0
1992-11-01,T1,6480.0
1992-12-01,T1,1920.0
1993-01-01,T1,3600.0
1993-02-01,T1,2040.0
1993-03-01,T1,2760.0
1993-04-01,T1,3840.0
1993-05-01,T1,960.0
1993-06-01,T1,2280.0
1993-07-01,T1,1320.0
1993-08-01,T1,2160.0
1993-09-01,T1,4800.0
1993-10-01,T1,3000.0
1993-11-01,T1,3120.0
1993-12-01,T1,5880.0
1994-01-01,T1,2640.0
1994-02-01,T1,2400.0
1994-03-01,T1,2280.0
1994-04-01,T1,480.0
1994-05-01,T1,5040.0
1994-06-01,T1,1920.0
1994-07-01,T1,840.0
1994-08-01,T1,2520.0
1994-09-01,T1,1560.0
1994-10-01,T1,1440.0
1994-11-01,T1,240.0
1994-12-01,T1,1800.0
1995-01-01,T1,4680.0
1995-02-01,T1,1800.0
1995-03-01,T1,1680.0
1995-04-01,T1,3720.0
1995-05-01,T1,2160.0
1995-06-01,T1,480.0
1995-07-01,T1,2040.0
1995-08-01,T1,1440.0
1990-01-01,T2,1680.0
1990-02-01,T2,1920.0
1990-03-01,T2,120.0
1990-04-01,T2,1080.0
1990-05-01,T2,840.0
1990-06-01,T2,1440.0
1990-07-01,T2,480.0
1990-08-01,T2,720.0
1990-09-01,T2,4080.0
1990-10-01,T2,1560.0
1990-11-01,T2,480.0
1990-12-01,T2,720.0
1991-01-01,T2,6120.0
1991-02-01,T2,2040.0
1991-03-01,T2,3960.0
1991-04-01,T2,2160.0
1991-05-01,T2,120.0
1991-06-01,T2,1200.0
1991-07-01,T2,1080.0
1991-08-01,T2,1080.0
1991-09-01,T2,1080.0
1991-10-01,T2,2160.0
1991-11-01,T2,240.0
1991-12-01,T2,1440.0
1992-01-01,T2,1200.0
1992-02-01,T2,1560.0
1992-03-01,T2,2520.0
1992-04-01,T2,600.0
1992-05-01,T2,1560.0
1992-06-01,T2,3240.0
1992-07-01,T2,7440.0
1992-08-01,T2,480.0
1992-09-01,T2,2640.0
1992-10-01,T2,960.0
1992-11-01,T2,3120.0
1992-12-01,T2,1200.0
1993-01-01,T2,960.0
1993-02-01,T2,480.0
1993-03-01,T2,600.0
1993-04-01,T2,120.0
1993-05-01,T2,2640.0
1993-06-01,T2,720.0
1993-07-01,T2,600.0
1993-08-01,T2,840.0
1993-09-01,T2,1320.0
1993-10-01,T2,2160.0
1993-11-01,T2,1200.0
1993-12-01,T2,1800.0
1994-01-01,T2,1320.0
1994-02-01,T2,600.0
1994-03-01,T2,1440.0
1994-04-01,T2,840.0
1994-05-01,T2,1440.0
1994-06-01,T2,1560.0
1994-07-01,T2,1080.0
1994-08-01,T2,360.0
1994-09-01,T2,960.0
1994-10-01,T2,1320.0
1994-11-01,T2,1080.0
1994-12-01,T2,1680.0
1995-01-01,T2,1080.0
1995-02-01,T2,840.0
1995-03-01,T2,840.0
1995-04-01,T2,600.0
1995-05-01,T2,1320.0
1995-06-01,T2,1320.0
1995-07-01,T2,2280.0
1995-08-01,T2,1440.0
1990-01-01,T3,1140.0
1990-02-01,T3,720.0
1990-03-01,T3,4860.0
1990-04-01,T3,1200.0
1990-05-01,T3,3150.0
1990-06-01,T3,2130.0
1990-07-01,T3,1800.0
1990-08-01,T3,2010.0
1990-09-01,T3,2880.0
1990-10-01,T3,1650.0
1990-11-01,T3,1740.0
1990-12-01,T3,4440.0
1991-01-01,T3,7410.0
1991-02-01,T3,3000.0
1991-03-01,T3,4410.0
1991-04-01,T3,4980.0
1991-05-01,T3,2040.0
1991-06-01,T3,3000.0
1991-07-01,T3,5430.0
1991-08-01,T3,4650.0
1991-09-01,T3,2520.0
1991-10-01,T3,2250.0
1991-11-01,T3,2100.0
1991-12-01,T3,5730.0
1992-01-01,T3,2550.0
1992-02-01,T3,6450.0
1992-03-01,T3,1050.0
1992-04-01,T3,3240.0
1992-05-01,T3,3960.0
1992-06-01,T3,3030.0
1992-07-01,T3,2850.0
1992-08-01,T3,4380.0
1992-09-01,T3,4080.0
1992-10-01,T3,4140.0
1992-11-01,T3,5160.0
1992-12-01,T3,5100.0
1993-01-01,T3,3480.0
1993-02-01,T3,4350.0
1993-03-01,T3,5550.0
1993-04-01,T3,4200.0
1993-05-01,T3,5640.0
1993-06-01,T3,4980.0
1993-07-01,T3,3810.0
1993-08-01,T3,3540.0
1993-09-01,T3,8760.0
1993-10-01,T3,5610.0
1993-11-01,T3,6090.0
1993-12-01,T3,4980.0
1994-01-01,T3,7680.0
1994-02-01,T3,5550.0
1994-03-01,T3,6540.0
1994-04-01,T3,4920.0
1994-05-01,T3,1710.0
1994-06-01,T3,3420.0
1994-07-01,T3,5910.0
1994-08-01,T3,6720.0
1994-09-01,T3,4650.0
1994-10-01,T3,2550.0
1994-11-01,T3,8640.0
1994-12-01,T3,7680.0
1995-01-01,T3,6720.0
1995-02-01,T3,5190.0
1995-03-01,T3,5190.0
1995-04-01,T3,5910.0
1995-05-01,T3,4800.0
1995-06-01,T3,5640.0
