date,series,value
1979-01-01,T1,1149.87
1979-02-01,T1,1053.8002
1979-03-01,T1,1388.8798
1979-04-01,T1,1783.3702
1979-05-01,T1,1921.0252
1979-06-01,T1,2704.9449
1979-07-01,T1,4184.4135
1979-08-01,T1,4148.3542
1979-09-01,T1,2620.7251
1979-10-01,T1,1650.3001
1979-11-01,T1,1115.9201
1979-12-01,T1,1370.6251
1980-01-01,T1,1096.315
1980-02-01,T1,978.46
1980-03-01,T1,1294.685
1980-04-01,T1,1480.4651
1980-05-01,T1,1748.8652
1980-06-01,T1,2216.9202
1980-07-01,T1,4690.5185
1980-08-01,T1,4682.8644
1980-09-01,T1,2459.5799
1980-10-01,T1,1484.4901
1980-11-01,T1,1028.9851
1980-12-01,T1,1109.3649
1981-01-01,T1,960.8751
1981-02-01,T1,896.3501
1981-03-01,T1,1118.6552
1981-04-01,T1,1619.995
1981-05-01,T1,1847.9949
1981-06-01,T1,2367.045
1981-07-01,T1,4991.1601
1981-08-01,T1,4772.9444
1981-09-01,T1,2894.6784
1981-10-01,T1,1860.4801
1981-11-01,T1,1185.1501
1981-12-01,T1,1313.6599
1982-01-01,T1,1160.9151
1982-02-01,T1,1061.5049
1982-03-01,T1,1301.77
1982-04-01,T1,1794.3798
1982-05-01,T1,2106.4551
1982-06-01,T1,2789.035
1982-07-01,T1,4917.8469
1982-08-01,T1,4994.4834
1982-09-01,T1,3016.7542
1982-10-01,T1,1941.5051
1982-11-01,T1,1234.135
1982-12-01,T1,1378.7202
1983-01-01,T1,1182.975
1983-02-01,T1,1081.66
1983-03-01,T1,1424.1101
1983-04-01,T1,1774.535
1983-05-01,T1,2115.4201
1983-06-01,T1,2804.8401
1983-07-01,T1,4849.4979
1983-08-01,T1,4937.4752
1983-09-01,T1,3074.2236
1983-10-01,T1,2063.4252
1983-11-01,T1,1297.3552
1983-12-01,T1,1350.7102
1984-01-01,T1,1224.3601
1984-02-01,T1,1165.8152
1984-03-01,T1,1409.33
1984-04-01,T1,2116.5499
1984-05-01,T1,2357.1351
1984-06-01,T1,2995.0702
1984-07-01,T1,5295.2121
1984-08-01,T1,4957.905
1984-09-01,T1,3321.9593
1984-10-01,T1,2221.1801
1984-11-01,T1,1345.9
1984-12-01,T1,1514.0151
1985-01-01,T1,1239.5502
1985-02-01,T1,1172.1599
1985-03-01,T1,1518.9752
1985-04-01,T1,1996.8751
1985-05-01,T1,2248.6851
1985-06-01,T1,3053.4402
1985-07-01,T1,5019.4534
1985-08-01,T1,5466.7801
1985-09-01,T1,3235.1677
1985-10-01,T1,2157.98
1985-11-01,T1,1379.7252
1985-12-01,T1,1728.04
1986-01-01,T1,1350.1099
1986-02-01,T1,1216.0149
1986-03-01,T1,1751.3252
1986-04-01,T1,1805.3201
1986-05-01,T1,2570.0249
1986-06-01,T1,3204.2402
1986-07-01,T1,5395.72
1986-08-01,T1,6078.8285
1986-09-01,T1,3587.0984
1986-10-01,T1,2285.195
1986-11-01,T1,1582.1899
1986-12-01,T1,1787.4298
1987-01-01,T1,1554.8701
1987-02-01,T1,1409.8649
1987-03-01,T1,1612.125
1987-04-01,T1,2286.2401
1987-05-01,T1,2913.7551
1987-06-01,T1,3645.9085
1987-07-01,T1,5956.7085
1987-08-01,T1,6326.975
1987-09-01,T1,3914.6602
1987-10-01,T1,2617.675
1987-11-01,T1,1675.165
1987-12-01,T1,2139.22
1988-01-01,T1,1715.4899
1988-02-01,T1,1663.5799
1988-03-01,T1,2053.6999
1988-04-01,T1,2354.9299
1988-05-01,T1,3038.5918
1988-06-01,T1,3470.6093
1988-07-01,T1,6606.1834
1988-08-01,T1,6587.6369
1988-09-01,T1,4133.7828
1988-10-01,T1,2960.0243
1988-11-01,T1,1762.5849
1988-12-01,T1,2125.6402
1989-01-01,T1,1815.9151
1989-02-01,T1,1632.315
1989-03-01,T1,2210.395
1989-04-01,T1,2210.215
1989-05-01,T1,3099.2694
1989-06-01,T1,3468.7778
1989-07-01,T1,6482.9252
1989-08-01,T1,6665.485
1989-09-01,T1,4006.3619
1989-10-01,T1,2882.3349
1989-11-01,T1,1775.2499
1989-12-01,T1,2171.6498
1990-01-01,T1,1796.475
1990-02-01,T1,1692.3498
1990-03-01,T1,1949.7851
1990-04-01,T1,2680.6301
1990-05-01,T1,2645.95
1990-06-01,T1,3414.7429
1990-07-01,T1,5772.8769
1990-08-01,T1,6053.7042
1990-09-01,T1,3878.1285
1990-10-01,T1,2806.5149
1990-11-01,T1,1735.5382
1990-12-01,T1,2128.92
1991-01-01,T1,1608.0142
1991-02-01,T1,1441.3301
1991-03-01,T1,2068.235
1991-04-01,T1,2207.6102
1991-05-01,T1,2918.41
1991-06-01,T1,3400.8178
1991-07-01,T1,6048.7421
1991-08-01,T1,6483.14
1991-09-01,T1,4063.5027
1991-10-01,T1,2900.23
1991-11-01,T1,1907.095
1991-12-01,T1,2338.51
1992-01-01,T1,1787.1651
1992-02-01,T1,1699.6451
1992-03-01,T1,1979.1052
1992-04-01,T1,2824.26
1992-05-01,T1,3076.505
1992-06-01,T1,3402.585
1992-07-01,T1,5985.83
1992-08-01,T1,6611.115
1992-09-01,T1,4150.2395
1992-10-01,T1,2841.0
1992-11-01,T1,1813.44
1992-12-01,T1,2261.08
1993-01-01,T1,1873.605
1993-02-01,T1,1772.84
1993-03-01,T1,2049.565
1993-04-01,T1,2932.265
1993-05-01,T1,3113.255
1993-06-01,T1,3461.505
1993-07-01,T1,6265.74
1993-08-01,T1,6857.8
1993-09-01,T1,4346.09
1993-10-01,T1,3154.73
1993-11-01,T1,2142.21
1993-12-01,T1,2375.725
1994-01-01,T1,1981.11
1994-02-01,T1,1959.865
1994-03-01,T1,2466.31
1994-04-01,T1,2851.715
1994-05-01,T1,3671.805
1994-06-01,T1,3806.78
1994-07-01,T1,6995.05
1979-01-01,T2,65072.37
1979-02-01,T2,48612.2
1979-03-01,T2,58452.59
1979-04-01,T2,57033.97
1979-05-01,T2,71498.95
1979-06-01,T2,79187.11
1979-07-01,T2,101896.1
1979-08-01,T2,115971.8
1979-09-01,T2,94962.15
1979-10-01,T2,80648.33
1979-11-01,T2,64196.08
1979-12-01,T2,50364.86
1980-01-01,T2,57624.06
1980-02-01,T2,47163.87
1980-03-01,T2,48874.07
1980-04-01,T2,62737.61
1980-05-01,T2,69621.13
1980-06-01,T2,71454.22
1980-07-01,T2,107916.8
1980-08-01,T2,120461.5
1980-09-01,T2,99441.18
1980-10-01,T2,84936.54
1980-11-01,T2,62809.52
1980-12-01,T2,54028.48
1981-01-01,T2,58605.91
1981-02-01,T2,50516.34
1981-03-01,T2,55711.54
1981-04-01,T2,55798.41
1981-05-01,T2,65033.18
1981-06-01,T2,89421.14
1981-07-01,T2,119027.9
1981-08-01,T2,133411.3
1981-09-01,T2,112890.7
1981-10-01,T2,96718.14
1981-11-01,T2,76462.8
1981-12-01,T2,57951.68
1982-01-01,T2,62094.69
1982-02-01,T2,55118.23
1982-03-01,T2,66128.35
1982-04-01,T2,71334.26
1982-05-01,T2,75644.72
1982-06-01,T2,98380.43
1982-07-01,T2,127255.0
1982-08-01,T2,146442.7
1982-09-01,T2,121934.8
1982-10-01,T2,88537.55
1982-11-01,T2,71126.15
1982-12-01,T2,80209.51
1983-01-01,T2,72614.41
1983-02-01,T2,64114.47
1983-03-01,T2,70382.5
1983-04-01,T2,77124.54
1983-05-01,T2,85675.68
1983-06-01,T2,110282.1
1983-07-01,T2,135361.3
1983-08-01,T2,165238.9
1983-09-01,T2,139575.0
1983-10-01,T2,113179.8
1983-11-01,T2,92898.84
1983-12-01,T2,69113.4
1984-01-01,T2,74665.16
1984-02-01,T2,70439.33
1984-03-01,T2,72906.46
1984-04-01,T2,79968.96
1984-05-01,T2,114617.0
1984-06-01,T2,123295.7
1984-07-01,T2,158611.7
1984-08-01,T2,187202.4
1984-09-01,T2,145933.7
1984-10-01,T2,142136.0
1984-11-01,T2,104437.6
1984-12-01,T2,77719.54
1985-01-01,T2,87537.67
1985-02-01,T2,74318.65
1985-03-01,T2,78690.74
1985-04-01,T2,93133.8
1985-05-01,T2,107493.0
1985-06-01,T2,115749.5
1985-07-01,T2,170180.0
1985-08-01,T2,182643.7
1985-09-01,T2,150198.4
1985-10-01,T2,144580.1
1985-11-01,T2,88946.34
1985-12-01,T2,79351.46
1986-01-01,T2,93303.12
1986-02-01,T2,83155.08
1986-03-01,T2,84729.4
1986-04-01,T2,118132.7
1986-05-01,T2,109726.9
1986-06-01,T2,136382.3
1986-07-01,T2,184945.2
1986-08-01,T2,183298.1
1986-09-01,T2,182025.2
1986-10-01,T2,154070.1
1986-11-01,T2,107512.6
1986-12-01,T2,95252.91
1987-01-01,T2,100485.8
1987-02-01,T2,85406.55
1987-03-01,T2,99865.2
1987-04-01,T2,104420.0
