date,series,value
2015-01-04,T1,6.4875
2015-01-11,T1,7.8092
2015-01-18,T1,6.8881
2015-01-25,T1,7.1613
2015-02-01,T1,8.3065
2015-02-08,T1,7.7223
2015-02-15,T1,7.2396
2015-02-22,T1,7.2968
2015-03-01,T1,7.0867
2015-03-08,T1,8.3974
2015-03-15,T1,7.9709
2015-03-22,T1,8.6572
2015-03-29,T1,7.7534
2015-04-05,T1,7.3091
2015-04-12,T1,6.7055
2015-04-19,T1,8.0407
2015-04-26,T1,8.6142
2015-05-03,T1,8.3533
2015-05-10,T1,8.3573
2015-05-17,T1,8.2803
2015-05-24,T1,8.3071
2015-05-31,T1,7.741
2015-06-07,T1,9.168
2015-06-14,T1,7.0665
2015-06-21,T1,7.491
2015-06-28,T1,7.3575
2015-07-05,T1,6.5461
2015-07-12,T1,7.0296
2015-07-19,T1,7.0709
2015-07-26,T1,7.0273
2015-08-02,T1,7.0326
2015-08-09,T1,7.5347
2015-08-16,T1,6.5645
2015-08-23,T1,9.5665
2015-08-30,T1,9.9098
2015-09-06,T1,9.1905
2015-09-13,T1,10.5919
2015-09-20,T1,9.9383
2015-09-27,T1,7.7111
2015-10-04,T1,9.4901
2015-10-11,T1,8.9649
2015-10-18,T1,9.4652
2015-10-25,T1,9.0992
2015-11-01,T1,10.4993
2015-11-08,T1,8.804
2015-11-15,T1,9.2471
2015-11-22,T1,8.5415
2015-11-29,T1,7.567
2015-12-06,T1,8.1357
2015-12-13,T1,9.5279
2015-12-20,T1,7.066
2015-12-27,T1,5.788
2016-01-03,T1,7.8997
2016-01-10,T1,8.0993
2016-01-17,T1,8.5037
2016-01-24,T1,8.7348
2016-01-31,T1,8.7961
2016-02-07,T1,8.2433
2016-02-14,T1,8.3429
2016-02-21,T1,7.8645
2016-02-28,T1,8.2668
2016-03-06,T1,9.265
2016-03-13,T1,7.0253
2016-03-20,T1,7.5897
2016-03-27,T1,7.4809
2016-04-03,T1,8.0259
2016-04-10,T1,6.9066
