Stock	Window Size	MAPE	RMSE	MAE
AAPL	3	0.02514582755480579	2.0438794007833176	0.9363186434479088
AAPL	15	0.014179672865254027	1.1845634565116465	0.5368284490463051
AAPL	30	0.013256963246129856	1.1114563832159168	0.5011912980955743
AMD	3	0.04298890060533875	2.342201555607845	1.0255345972614192
AMD	15	0.025122136504085964	1.3257036502923534	0.5844461373762914
AMD	30	0.02355727181016693	1.2363368135134187	0.5473680207265874
AMZN	3	0.02751665873601458	2.412302119548411	1.1016844488620778
AMZN	15	0.015759565116670766	1.5144515903980285	0.6452951696998758
AMZN	30	0.01471364227364961	1.4393900525633547	0.6066775799671794
BAC	3	0.02885504517123782	1.0663480999432513	0.6276502298236593
BAC	15	0.01659179507113343	0.6183655856476513	0.3564328542568284
BAC	30	0.015724385062273836	0.5900151021019715	0.33670562721794045
GOOGL	3	0.021705162878834127	1.64987993911147	0.8462060828417798
GOOGL	15	0.012537908442076763	0.985439905516916	0.4895630065911726
GOOGL	30	0.011824885912285595	0.9320436380825491	0.4646817466904638
META	3	0.028365292850194332	6.523808704336979	4.013559191060527
META	15	0.016546003957918654	4.235790682741687	2.3673302030199186
META	30	0.015427756612196803	4.027685629196553	2.231965329975558
MSFT	3	0.020559620844053605	3.846690077650083	1.8009636892842709
MSFT	15	0.011753766896041025	2.1890069769845533	1.0189663352329417
MSFT	30	0.01114102869503154	2.0967030562336344	0.9711189536573342
NVDA	3	0.036789940390674666	4.405707422109077	1.6052287020478848
NVDA	15	0.020972098613546535	2.4762632918240786	0.8978730312039731
NVDA	30	0.019601275184567488	2.3349955886385683	0.8481969962389153
PLTR	3	0.05675581726896558	1.563659025665344	0.9759894628911047
PLTR	15	0.03270012600498078	0.9422145369696283	0.5651912181178625
PLTR	30	0.030064090018286516	0.8727569957433109	0.5301260032825049
TSLA	3	0.043591918630648624	7.412888069427488	2.9843871764275374
TSLA	15	0.02472164865429329	4.485781170158072	1.6951444098834774
TSLA	30	0.02284704481272219	4.154654679735217	1.5880213905591267
